date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:10	73326/73326	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:55:56%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/movable-head-360-digital-flush-mounted-ceiling-type-motion-trio-sensor-classic	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enc626.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:12	73326/73326	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:55:59%20GMT	http://netelsan.com.tr/index-en.php?/sensors/movable-head-360-digital-flush-mounted-ceiling-type-motion-trio-sensor-classic	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en183c.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:18	73080/73080	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:05%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/hf-radar-sensor-ghost	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-enc7fb.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:18	72415/72415	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:36:14%20GMT	https://netelsan.com.tr/upload/2017/06/hf-radar-ghost-swichli.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/hf-radar-ghost-swichli.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:22	73140/73140	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:11%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/hf-radar-sensor-ghost-switch	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en8c61.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:25	86451/86451	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jun%202017%2012:36:48%20GMT	https://netelsan.com.tr/upload/2017/06/role-devresi.jpg	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/upload/2017/06/role-devresi.jpg	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:32	72748/72748	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:21%20GMT	http://netelsan.com.tr/index-en.php?/sensors/motion-sensors/relay-circuit	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en6708.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:34	73080/73080	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:08%20GMT	http://netelsan.com.tr/index-en.php?/sensors/hf-radar-sensor-ghost	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en220a.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:40	73140/73140	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:17%20GMT	http://netelsan.com.tr/index-en.php?/sensors/hf-radar-sensor-ghost-switch	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en892a.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
23:56:41	72748/72748	---MC-	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2020:56:24%20GMT	http://netelsan.com.tr/index-en.php?/sensors/relay-circuit	C:/Users/SAHIL/Desktop/netelsan/netelsan.com.tr/index-en445f.html	(from https://netelsan.com.tr/index-en.php?/sensors/motion-sensors)
